producoes_id,pesquisadores_id,issn,nomeartigo,anoartigo
844f1f07-4144-4abd-8c2c-c67cf766266c,83f3b662-3130-4d3e-9b4f-a698472dc7c3,25956825,Dinâmica de ensino baseada em fabricação digital e PBL para apoiar os professores de psicologia na apresentação do Teste de Pirâmide Colorida Pfister / Teaching dynamics based on digital fabrication and PBL to support psychology teachers in presenting the Pfister Color Pyramid Test,2021
d1b5a270-f8da-4462-a91f-31557456d32d,83f3b662-3130-4d3e-9b4f-a698472dc7c3,1981223X,APLICAÇÃO DE CONCEITOS E CRITÉRIOS DE DESEMPENHO PARA UMA SALA DE AULA INOVADORA,2023
8d80565e-e3e1-4513-9c9f-f16586f0fe4a,83f3b662-3130-4d3e-9b4f-a698472dc7c3,19831358,"Solução para Mapeamento e Consulta das Competências dos Pesquisadores: uma arquitetura para extração, integração e consultas de informações acadêmicas",2024
a0664cd7-be81-44d3-9fb2-be315bbc9d94,83f3b662-3130-4d3e-9b4f-a698472dc7c3,25253409,A teoria fundamentada em dados aplicada ao campo da educação superior,2021
64d3fb54-6652-4791-809e-89f49192775c,83f3b662-3130-4d3e-9b4f-a698472dc7c3,20711050,Analysis of Hydrous Ethanol Price Competitiveness after the Implementation of the Fossil Fuel Import Price Parity Policy in Brazil,2021
5974f9b5-9963-460d-b27e-7cd1e2cd050d,83f3b662-3130-4d3e-9b4f-a698472dc7c3,24112933,Architectural design of classroom to stimulate learning in Higher Education,2022
997e3e3e-7ac3-4da9-89b3-013dd9bdd93d,83f3b662-3130-4d3e-9b4f-a698472dc7c3,24112933,A Proposal for the Integration of the Energy Matrix from a Graph Theory Perspective,2022
e542dc7e-a2d5-4b71-a0d7-6ce190683429,83f3b662-3130-4d3e-9b4f-a698472dc7c3,15411389,Mapeamento científico e tecnológico sobre Impressão 3D,2023
29dca424-a233-4e36-b0d3-006d90066b52,2d647981-d092-43bc-b25c-a30db53bd9ff,19830882,Percepções juvenis sobre as fake news em seus processos de formação e participação políticas,2024
1c17c0b5-f4af-4b93-a363-351804588df0,83f3b662-3130-4d3e-9b4f-a698472dc7c3,15487709,Correlation between Transport and Occurrence of Dengue Cases in Bahia,2014
605c340d-a5f7-4a3a-9864-94e6aeaf9caf,2d647981-d092-43bc-b25c-a30db53bd9ff,24112933,Architectural design of classroom to stimulate learning in Higher Education,2022
64b12273-22eb-4309-836c-defea658df57,83f3b662-3130-4d3e-9b4f-a698472dc7c3,24112933,An evaluation model for accessibility conditions of salvador bus stops,2022
471b550c-bd93-468b-a42a-c73d320b4c21,83f3b662-3130-4d3e-9b4f-a698472dc7c3,21788030,"IMPRESSÃO 3D: DA PESQUISA AO SETOR PRODUTIVO Um estudo exploratório sobre sua evolução histórica, origem, tecnologias, aplicações e inovações",2022
5d02a57d-8958-4768-8254-78fa4f6c5833,83f3b662-3130-4d3e-9b4f-a698472dc7c3,23170026,Portal de Acesso às Informações das Ações das Universidades Federais em Resposta à Pandemia de Covid-19: uma análise do período pandêmico até a transição para uma pós-pandemia,2023
f83d8e0c-6288-4bb7-8bae-46a305255e61,83f3b662-3130-4d3e-9b4f-a698472dc7c3,15411389,Difusão e utilização de informações acadêmicas: um modelo de gestão do conhecimento para subsidiar gestores universitários,2024
